"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Class room Sompal Singh Memorial Public School","14-Jun-2023","1000000","07-Nov-2023"
"2","Normal/Others","WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya","14-Jun-2023","1000000","08-Dec-2023"
"3","Normal/Others","WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges","Uttar Pradesh","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Classroom and hall Galaxy Public School lakhna","14-Jun-2023","1000000","15-Mar-2024"
"4","Normal/Others","WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1484933","12-Aug-2023"
"5","Normal/Others","WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1486089","12-Aug-2023"
"6","Normal/Others","WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1484550","12-Aug-2023"
"7","Normal/Others","WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","1484940","12-Aug-2023"
"8","Normal/Others","WS/MP190/2023-2024/1301-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi HighMast Light","19-Jun-2023","243000","24-Aug-2023"
"9","Normal/Others","WS/MP190/2023-2024/1302-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","243000","24-Aug-2023"
"10","Normal/Others","WS/MP190/2023-2024/1303-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED SEMI High Mast Light","19-Jun-2023","243000","24-Aug-2023"
"11","Normal/Others","WS/MP190/2023-2024/1304-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","243000","24-Aug-2023"
"12","Normal/Others","WS/MP190/2023-2024/1305-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","243000","24-Aug-2023"
"13","Normal/Others","WS/MP187/2023-2024/1362-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Light ( 6 lights)","21-Jun-2023","283000","07-Jul-2023"
"14","Normal/Others","WS/MP187/2023-2024/1363-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 lights)","21-Jun-2023","283000","07-Jul-2023"
"15","Normal/Others","WS/MP187/2023-2024/1364-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Lights ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"16","Normal/Others","WS/MP187/2023-2024/1365-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"17","Normal/Others","WS/MP187/2023-2024/1366-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light","21-Jun-2023","283000","07-Jul-2023"
"18","Normal/Others","WS/MP187/2023-2024/1367-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light","21-Jun-2023","283000","07-Jul-2023"
"19","Normal/Others","WS/MP187/2023-2024/1368-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"20","Normal/Others","WS/MP187/2023-2024/1369-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Lights","21-Jun-2023","283000","07-Jul-2023"
"21","Normal/Others","WS/MP187/2023-2024/1370-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 lights)","21-Jun-2023","283000","07-Jul-2023"
"22","Normal/Others","WS/MP187/2023-2024/1371-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 lights)","21-Jun-2023","283000","07-Jul-2023"
"23","Normal/Others","WS/MP187/2023-2024/1372-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"24","Normal/Others","WS/MP187/2023-2024/1373-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"25","Normal/Others","WS/MP187/2023-2024/1374-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"26","Normal/Others","WS/MP187/2023-2024/1375-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask StreetLights ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"27","Normal/Others","WS/MP187/2023-2024/1376-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"28","Normal/Others","WS/MP187/2023-2024/1377-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MaskStreet Lights ( 6 Light)","21-Jun-2023","283000","07-Jul-2023"
"29","Normal/Others","WS/MP187/2023-2024/1378-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"30","Normal/Others","WS/MP187/2023-2024/1379-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street  Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"31","Normal/Others","WS/MP187/2023-2024/1380-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Lights ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"32","Normal/Others","WS/MP187/2023-2024/1381-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"33","Normal/Others","WS/MP001/2023-2024/1411-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","???? ????? ??? ?? ???????  ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ???  ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????","21-Jun-2023","1484100","15-Sep-2023"
"34","Normal/Others","WS/MP187/2023-2024/1419-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"35","Normal/Others","WS/MP187/2023-2024/1420-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"36","Normal/Others","WS/MP187/2023-2024/1421-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"37","Normal/Others","WS/MP187/2023-2024/1422-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"38","Normal/Others","WS/MP187/2023-2024/1423-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"39","Normal/Others","WS/MP187/2023-2024/1424-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"40","Normal/Others","WS/MP187/2023-2024/1425-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"41","Normal/Others","WS/MP187/2023-2024/1426-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"42","Normal/Others","WS/MP187/2023-2024/1427-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"43","Normal/Others","WS/MP187/2023-2024/1428-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"44","Normal/Others","WS/MP187/2023-2024/1429-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"45","Normal/Others","WS/MP187/2023-2024/1430-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"46","Normal/Others","WS/MP187/2023-2024/1431-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"47","Normal/Others","WS/MP187/2023-2024/1432-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"48","Normal/Others","WS/MP187/2023-2024/1433-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"49","Normal/Others","WS/MP187/2023-2024/1434-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"50","Normal/Others","WS/MP187/2023-2024/1435-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"51","Normal/Others","WS/MP187/2023-2024/1436-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","DUDHIYa MANDIR PILIBHIT","21-Jun-2023","283000","07-Jul-2023"
"52","Normal/Others","WS/MP187/2023-2024/1437-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"53","Normal/Others","WS/MP187/2023-2024/1438-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"54","Normal/Others","WS/MP106/2023-2024/1439-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","paber block work in ground government sanjay middle school police narsinghpur","22-Jun-2023","500000","20-Sep-2023"
"55","Normal/Others","WS/MP106/2025-2026/1464-Construction of culverts and bridges","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Nuniya Kalan, Janpad Panchayat Panagar ke gram Nuniya Kalan ke Bajrai Nala ke pas Puliya nirman, Jabalpur","22-Jun-2023","500000","31-Jan-2026"
"56","Normal/Others","WS/MP001/2023-2024/1487-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","?????? ???? ????, ??? ?????? ??? ??0??0??0 ??? ?? ??????? ????? ?","23-Jun-2023","1385546","26-Oct-2023"
"57","Normal/Others","WS/MP001/2023-2024/1488-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ?? ??????? ?????","23-Jun-2023","1486150","26-Oct-2023"
"58","Normal/Others","WS/MP001/2023-2024/1489-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ?? ???????","23-Jun-2023","1198135","26-Oct-2023"
"59","Normal/Others","WS/MP001/2023-2024/1490-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ?? ??????? ?????","23-Jun-2023","897400","26-Oct-2023"
"60","Normal/Others","WS/MP001/2023-2024/1493-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ??????? ?????","23-Jun-2023","1484800","05-Sep-2023"
"61","Normal/Others","WS/MP001/2023-2024/1494-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??? ??????? ?????","23-Jun-2023","989898","12-Aug-2023"
"62","Normal/Others","WS/MP001/2023-2024/1495-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??? ??????? ?????","23-Jun-2023","989710","12-Aug-2023"
"63","Normal/Others","WS/MP187/2023-2024/1496-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"64","Normal/Others","WS/MP187/2023-2024/1497-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"65","Normal/Others","WS/MP187/2023-2024/1498-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"66","Normal/Others","WS/MP187/2023-2024/1499-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"67","Normal/Others","WS/MP187/2023-2024/1500-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"68","Normal/Others","WS/MP187/2023-2024/1501-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"69","Normal/Others","WS/MP187/2023-2024/1502-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"70","Normal/Others","WS/MP187/2023-2024/1503-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"71","Normal/Others","WS/MP187/2023-2024/1504-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"72","Normal/Others","WS/MP187/2023-2024/1505-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"73","Normal/Others","WS/MP187/2023-2024/1506-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"74","Normal/Others","WS/MP187/2023-2024/1507-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"75","Normal/Others","WS/MP187/2023-2024/1508-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"76","Normal/Others","WS/MP187/2023-2024/1509-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"77","Normal/Others","WS/MP187/2023-2024/1510-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"78","Normal/Others","WS/MP187/2023-2024/1511-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"79","Normal/Others","WS/MP187/2023-2024/1512-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"80","Normal/Others","WS/MP187/2023-2024/1513-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"81","Normal/Others","WS/MP187/2023-2024/1514-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"82","Normal/Others","WS/MP187/2023-2024/1515-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","283000","07-Jul-2023"
"83","Normal/Others","WS/MP106/2025-2026/1516-Development of playground","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Nagna, Gram Panchayat Nagna, Janpad Panchayat Panagar ke Govt. Middle School Bhawan Parisar me Pevar Block kary hetu, District Jabalpur","23-Jun-2023","600000","15-May-2025"
"84","Normal/Others","WS/MP106/2023-2024/1517-Construction of buildings for community cultural activities","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","????? ???? ??????????, ????? ?????? ?????, ???? ?????? ????? ???? ?????? ??? ?????? ??????? ????.","23-Jun-2023","300000","11-Aug-2023"
"85","Normal/Others","WS/MP106/2023-2024/1518-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Samudayik bhavan nirman kary, Gram Madna, Gram Panchayat Imalia (Tikari) Janpad Panchayat Panagar, Vidhan Sabha Panagar, District Jabalpur","23-Jun-2023","300000","05-Oct-2023"
"86","Normal/Others","WS/MP106/2024-2025/1521-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Sanyukt Rajak Samaj Sabha (Reg. no. 25664) Gwarighat sthit Dharm Shala main Kaksh nirman hetu, Vidhan Sabha Pashchim, District Jabalpur","23-Jun-2023","250000","12-Sep-2024"
